dise_id	dise_name	freq	hpo_id	hpo_name	mesh_id
6	3-methylcrotonyl-CoA carboxylase deficiency	Very frequent (99-80%)	HP:0001252	Muscular hypotonia	D009123
6	3-methylcrotonyl-CoA carboxylase deficiency	Occasional (29-5%)	HP:0001257	Spasticity	D009128
6	3-methylcrotonyl-CoA carboxylase deficiency	Frequent (79-30%)	HP:0001531	Failure to thrive in infancy	
6	3-methylcrotonyl-CoA carboxylase deficiency	Very frequent (99-80%)	HP:0001943	Hypoglycemia	D007003
6	3-methylcrotonyl-CoA carboxylase deficiency	Frequent (79-30%)	HP:0001987	Hyperammonemia	D022124
6	3-methylcrotonyl-CoA carboxylase deficiency	Very frequent (99-80%)	HP:0001992	Organic aciduria	
6	3-methylcrotonyl-CoA carboxylase deficiency	Occasional (29-5%)	HP:0002093	Respiratory insufficiency	D012131
6	3-methylcrotonyl-CoA carboxylase deficiency	Very frequent (99-80%)	HP:0004357	Abnormality of leucine metabolism	
6	3-methylcrotonyl-CoA carboxylase deficiency	Frequent (79-30%)	HP:0100022	Abnormality of movement	D009069
6	3-methylcrotonyl-CoA carboxylase deficiency	Occasional (29-5%)	HP:0100659	Abnormality of the cerebral vasculature	
7	3C syndrome	Occasional (29-5%)	HP:0000023	Inguinal hernia	D006552
7	3C syndrome	Occasional (29-5%)	HP:0000047	Hypospadias	
7	3C syndrome	Occasional (29-5%)	HP:0000126	Hydronephrosis	D006869
7	3C syndrome	Frequent (79-30%)	HP:0000175	Cleft palate	D002972
7	3C syndrome	Occasional (29-5%)	HP:0000202	Oral cleft	
7	3C syndrome	Very frequent (99-80%)	HP:0000235	Abnormality of the fontanelles or cranial sutures	
7	3C syndrome	Frequent (79-30%)	HP:0000238	Hydrocephalus	D006849
7	3C syndrome	Frequent (79-30%)	HP:0000256	Macrocephaly	
7	3C syndrome	Frequent (79-30%)	HP:0000269	Prominent occiput	
7	3C syndrome	Very frequent (99-80%)	HP:0000316	Hypertelorism	D006972
7	3C syndrome	Occasional (29-5%)	HP:0000329	Facial hemangioma	
7	3C syndrome	Occasional (29-5%)	HP:0000347	Micrognathia	D008844
7	3C syndrome	Frequent (79-30%)	HP:0000369	Low-set ears	
7	3C syndrome	Occasional (29-5%)	HP:0000384	Preauricular skin tag	
7	3C syndrome	Very frequent (99-80%)	HP:0000431	Wide nasal bridge	
7	3C syndrome	Occasional (29-5%)	HP:0000470	Short neck	
7	3C syndrome	Frequent (79-30%)	HP:0000494	Downslanted palpebral fissures	
7	3C syndrome	Occasional (29-5%)	HP:0000501	Glaucoma	D005901
7	3C syndrome	Occasional (29-5%)	HP:0000567	Chorioretinal coloboma	
7	3C syndrome	Occasional (29-5%)	HP:0000612	Iris coloboma	
7	3C syndrome	Occasional (29-5%)	HP:0000648	Optic atrophy	D009896
7	3C syndrome	Occasional (29-5%)	HP:0000835	Adrenal hypoplasia	C538429
7	3C syndrome	Occasional (29-5%)	HP:0000921	Missing ribs	
7	3C syndrome	Occasional (29-5%)	HP:0001156	Brachydactyly	D059327
7	3C syndrome	Occasional (29-5%)	HP:0001161	Hand polydactyly	
7	3C syndrome	Occasional (29-5%)	HP:0001195	Single umbilical artery	D058529
7	3C syndrome	Very frequent (99-80%)	HP:0001249	Intellectual disability	D008607
7	3C syndrome	Very frequent (99-80%)	HP:0001252	Muscular hypotonia	D009123
7	3C syndrome	Very frequent (99-80%)	HP:0001263	Global developmental delay	
7	3C syndrome	Very frequent (99-80%)	HP:0001305	Dandy-Walker malformation	D003616
7	3C syndrome	Frequent (79-30%)	HP:0001522	Death in infancy	
7	3C syndrome	Frequent (79-30%)	HP:0001629	Ventricular septal defect	D006345
7	3C syndrome	Frequent (79-30%)	HP:0001631	Atrial septal defect	D006344
7	3C syndrome	Frequent (79-30%)	HP:0001633	Abnormality of the mitral valve	
7	3C syndrome	Frequent (79-30%)	HP:0001636	Tetralogy of Fallot	D013771
7	3C syndrome	Frequent (79-30%)	HP:0001642	Pulmonic stenosis	D011666
7	3C syndrome	Frequent (79-30%)	HP:0001650	Aortic valve stenosis	D001024
7	3C syndrome	Frequent (79-30%)	HP:0001702	Abnormality of the tricuspid valve	
7	3C syndrome	Occasional (29-5%)	HP:0001804	Hypoplastic fingernail	
7	3C syndrome	Very frequent (99-80%)	HP:0002007	Frontal bossing	
7	3C syndrome	Occasional (29-5%)	HP:0002020	Gastroesophageal reflux	D005764
7	3C syndrome	Occasional (29-5%)	HP:0002020	Gastroesophageal reflux	D006356
7	3C syndrome	Occasional (29-5%)	HP:0002023	Anal atresia	D001006
7	3C syndrome	Frequent (79-30%)	HP:0002119	Ventriculomegaly	
7	3C syndrome	Very frequent (99-80%)	HP:0002167	Neurological speech impairment	D013064
7	3C syndrome	Frequent (79-30%)	HP:0002205	Recurrent respiratory infections	
7	3C syndrome	Occasional (29-5%)	HP:0002269	Abnormality of neuronal migration	D054081
7	3C syndrome	Occasional (29-5%)	HP:0002566	Intestinal malrotation	C562456
7	3C syndrome	Frequent (79-30%)	HP:0002650	Scoliosis	D013121
7	3C syndrome	Frequent (79-30%)	HP:0002705	High, narrow palate	
7	3C syndrome	Frequent (79-30%)	HP:0002808	Kyphosis	D007738
7	3C syndrome	Occasional (29-5%)	HP:0002937	Hemivertebrae	
7	3C syndrome	Frequent (79-30%)	HP:0003196	Short nose	
7	3C syndrome	Occasional (29-5%)	HP:0003272	Abnormality of the hip bone	
7	3C syndrome	Frequent (79-30%)	HP:0004322	Short stature	
7	3C syndrome	Frequent (79-30%)	HP:0004383	Hypoplastic left heart	D018636
7	3C syndrome	Occasional (29-5%)	HP:0004397	Ectopic anus	
7	3C syndrome	Frequent (79-30%)	HP:0005280	Depressed nasal bridge	
7	3C syndrome	Occasional (29-5%)	HP:0006101	Finger syndactyly	
