dise_name	orpha_id
Endometrial stromal sarcoma	ORPHA:213711
Small cell lung cancer	ORPHA:70573
Ewing sarcoma	ORPHA:319
Multiple myeloma	ORPHA:29073
Anaplastic astrocytoma	ORPHA:251589
Burkitt lymphoma	ORPHA:543
Precursor B-cell acute lymphoblastic leukemia	ORPHA:99860
Neuroblastoma	ORPHA:635
Osteosarcoma	ORPHA:668
Anaplastic oligodendroglioma	ORPHA:251630
Oligoastrocytoma	ORPHA:251656
Anaplastic oligoastrocytoma	ORPHA:251663
Angiocentric glioma	ORPHA:251671
Giant cell glioblastoma	ORPHA:251579
Protoplasmic astrocytoma	ORPHA:251598
Gemistocytic astrocytoma	ORPHA:251604
Fibrillary astrocytoma	ORPHA:251601
Pilocytic astrocytoma	ORPHA:251612
Oligodendroglioma	ORPHA:251627
Peripheral primitive neuroectodermal tumor	ORPHA:370348
Sporadic secreting paraganglioma	ORPHA:276627
Hereditary pheochromocytoma-paraganglioma	ORPHA:29072
Chronic myeloid leukemia	ORPHA:521
Polycythemia vera	ORPHA:729
Essential thrombocythemia	ORPHA:3318
Sickle cell anemia	ORPHA:232
Primary familial polycythemia	ORPHA:90042
Hb Bart's hydrops fetalis	ORPHA:163596
Alpha-thalassemia-X-linked intellectual disability syndrome	ORPHA:847
Alpha-thalassemia-myelodysplastic syndrome	ORPHA:231401
Hemoglobin H disease	ORPHA:93616
Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16	ORPHA:98791
Familial prostate cancer	ORPHA:1331
Hereditary diffuse gastric cancer	ORPHA:26106
Follicular lymphoma	ORPHA:545
B-cell chronic lymphocytic leukemia	ORPHA:67038
Differentiated thyroid carcinoma	ORPHA:146
Nephroblastoma	ORPHA:654
Familial papillary or follicular thyroid carcinoma	ORPHA:319487
Familial medullary thyroid carcinoma	ORPHA:99361
2p21 microdeletion syndrome	ORPHA:163693
Smith-Magenis syndrome	ORPHA:819
Jacobsen syndrome	ORPHA:2308
6q16 deletion syndrome	ORPHA:171829
15q13.3 microdeletion syndrome	ORPHA:199318
Monosomy 13q14	ORPHA:1587
Distal monosomy 3p	ORPHA:1620
Deletion 5q35	ORPHA:1627
2q37 microdeletion syndrome	ORPHA:1001
Distal monosomy 15q	ORPHA:1596
2q24 microdeletion syndrome	ORPHA:1617
1p36 deletion syndrome	ORPHA:1606
2q32q33 microdeletion syndrome	ORPHA:251019
2q33.1 microdeletion syndrome	ORPHA:251028
7q31 microdeletion syndrome	ORPHA:251061
8p11.2 deletion syndrome	ORPHA:251066
8p23.1 microdeletion syndrome	ORPHA:251071
6q25 microdeletion syndrome	ORPHA:251056
Paternal 14q32.2 microdeletion syndrome	ORPHA:254525
Maternal 14q32.2 microdeletion syndrome	ORPHA:254528
14q12 microdeletion syndrome	ORPHA:261144
Distal 16p11.2 microdeletion syndrome	ORPHA:261222
15q14 microdeletion syndrome	ORPHA:261190
Proximal 16p11.2 microdeletion syndrome	ORPHA:261197
20p12.3 microdeletion syndrome	ORPHA:261295
17q23.1q23.2 microdeletion syndrome	ORPHA:261279
17q12 microdeletion syndrome	ORPHA:261265
16q24.3 microdeletion syndrome	ORPHA:261250
Distal 17p13.3 microdeletion syndrome	ORPHA:261257
Distal 22q11.2 microdeletion syndrome	ORPHA:261330
14q22q23 microdeletion syndrome	ORPHA:264200
DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion	ORPHA:268261
Distal monosomy 12p	ORPHA:280325
2q23.1 microdeletion syndrome	ORPHA:228402
5q14.3 microdeletion syndrome	ORPHA:228384
1q44 microdeletion syndrome	ORPHA:238769
Severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion	ORPHA:314655
2p21 microdeletion syndrome without cystinuria	ORPHA:369881
Ichthyosis-short stature-brachydactyly-microspherophakia syndrome	ORPHA:363992
Koolen-De Vries syndrome due to a point mutation	ORPHA:363965
17q21.31 microdeletion syndrome	ORPHA:363958
Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to 9q21 microdeletion	ORPHA:352665
1p21.3 microdeletion syndrome	ORPHA:293948
12p12.1 microdeletion syndrome	ORPHA:313884
1p31p32 microdeletion syndrome	ORPHA:401986
Angelman syndrome due to a point mutation	ORPHA:411511
Angelman syndrome due to imprinting defect in 15q11-q13	ORPHA:411515
Monosomy 9q22.3	ORPHA:77301
6q terminal deletion syndrome	ORPHA:75857
Distal monosomy 1q	ORPHA:36367
Monosomy 22q13	ORPHA:48652
Potocki-Shaffer syndrome	ORPHA:52022
Deafness-infertility syndrome	ORPHA:94064
12q14 microdeletion syndrome	ORPHA:94063
15q24 microdeletion syndrome	ORPHA:94065
Angelman syndrome due to paternal uniparental disomy of chromosome 15	ORPHA:98795
Angelman syndrome due to maternal 15q11q13 deletion	ORPHA:98794
Carcinoid syndrome	ORPHA:100093
Dermatofibrosarcoma protuberans	ORPHA:31112
Alveolar soft-tissue sarcoma	ORPHA:163699
Extraskeletal myxoid chondrosarcoma	ORPHA:209916
Fibrosarcoma	ORPHA:2030
Synovial sarcoma	ORPHA:3273
Familial rhabdoid tumor	ORPHA:231108
Extraskeletal Ewing sarcoma	ORPHA:370334
Chondrosarcoma	ORPHA:55880
Myxofibrosarcoma	ORPHA:79105
Embryonal rhabdomyosarcoma	ORPHA:99757
Alveolar rhabdomyosarcoma	ORPHA:99756
Well-differentiated liposarcoma	ORPHA:99971
Dedifferentiated liposarcoma	ORPHA:99970
Myxoid/round cell liposarcoma	ORPHA:99967
Atypical teratoid rhabdoid tumor	ORPHA:99966
Hairy cell leukemia	ORPHA:58017
Waldenström macroglobulinemia	ORPHA:33226
Infant acute respiratory distress syndrome	ORPHA:70587
Blackfan-Diamond anemia	ORPHA:124
Sarcoidosis	ORPHA:797
Giant cell arteritis	ORPHA:397
West syndrome	ORPHA:3451
Chronic beryllium disease	ORPHA:133
Bullous pemphigoid	ORPHA:703
Fetal and neonatal alloimmune thrombocytopenia	ORPHA:853
Immune thrombocytopenic purpura	ORPHA:3002
Alopecia universalis	ORPHA:701
Pediatric systemic lupus erythematosus	ORPHA:93552
Familial glucocorticoid deficiency	ORPHA:361
Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency	ORPHA:289548
Cytomegalic congenital adrenal hypoplasia	ORPHA:95702
Classic congenital lipoid adrenal hyperplasia due to STAR deficency	ORPHA:325524
Non-classic congenital lipoid adrenal hyperplasia due to STAR deficency	ORPHA:325529
Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, simple virilizing form	ORPHA:315311
Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	ORPHA:315306
Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency	ORPHA:90791
Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency	ORPHA:90793
Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	ORPHA:90795
Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency	ORPHA:95699
Chronic mucocutaneous candidiasis	ORPHA:1334
Multiple system atrophy, cerebellar type	ORPHA:227510
Autosomal dominant keratitis	ORPHA:2334
Orthostatic intolerance due to NET deficiency	ORPHA:443236
Stevens-Johnson syndrome	ORPHA:36426
Acromegaly	ORPHA:963
X-linked acrogigantism due to Xq26 microduplication	ORPHA:448372
Nakajo-Nishimura syndrome	ORPHA:2615
Stiff skin syndrome	ORPHA:2833
Acute promyelocytic leukemia	ORPHA:520
Adult hepatocellular carcinoma	ORPHA:210159
Fibrolamellar hepatocellular carcinoma	ORPHA:401920
Pediatric hepatocellular carcinoma	ORPHA:33402
Tuberous sclerosis complex	ORPHA:805
Gastrointestinal stromal tumor	ORPHA:44890
Drug- or toxin-induced pulmonary arterial hypertension	ORPHA:275786
Pulmonary arterial hypertension associated with connective tissue disease	ORPHA:275798
Homozygous familial hypercholesterolemia	ORPHA:391665
Hyperlipoproteinemia type 3	ORPHA:412
Sitosterolemia	ORPHA:2882
Hyperlipidemia due to hepatic triglyceride lipase deficiency	ORPHA:140905
Cholesterol-ester transfer protein deficiency	ORPHA:79506
Abetalipoproteinemia	ORPHA:14
Chylomicron retention disease	ORPHA:71
Choreoacanthocytosis	ORPHA:2388
Apolipoprotein A-I deficiency	ORPHA:425
Tangier disease	ORPHA:31150
Familial LCAT deficiency	ORPHA:79293
Fish-eye disease	ORPHA:79292
Granulomatosis with polyangiitis	ORPHA:900
Parkinsonian-pyramidal syndrome	ORPHA:171695
Young-onset Parkinson disease	ORPHA:2828
Early-onset parkinsonism-intellectual disability syndrome	ORPHA:2379
X-linked parkinsonism-spasticity syndrome	ORPHA:363654
Hereditary late-onset Parkinson disease	ORPHA:411602
Atypical juvenile parkinsonism	ORPHA:391411
Prolactinoma	ORPHA:2965
Familial  hyperprolactinemia	ORPHA:397685
Insulinoma	ORPHA:97279
Exercise-induced hyperinsulinism	ORPHA:165991
Hyperinsulinism due to INSR deficiency	ORPHA:263458
Hyperinsulinism due to HNF4A deficiency	ORPHA:263455
Autosomal dominant hyperinsulinism due to Kir6.2 deficiency	ORPHA:276580
Autosomal dominant hyperinsulinism due to SUR1 deficiency	ORPHA:276575
Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency	ORPHA:276598
Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency	ORPHA:276603
Hyperinsulinism due to UCP2 deficiency	ORPHA:276556
Hyperinsulinism due to HNF1A deficiency	ORPHA:324575
Hyperinsulinism due to glucokinase deficiency	ORPHA:79299
Autosomal recessive hyperinsulinism due to SUR1 deficiency	ORPHA:79643
Autosomal recessive hyperinsulinism due to Kir6.2 deficiency	ORPHA:79644
GCGR-related hyperglucagonemia	ORPHA:438274
Primary sclerosing cholangitis	ORPHA:171
Cystic fibrosis	ORPHA:586
Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency	ORPHA:314376
Lymphoadenopathic mastocytosis with eosinophilia	ORPHA:158793
Isolated bone marrow mastocytosis	ORPHA:158778
Smouldering systemic mastocytosis	ORPHA:158775
Systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease	ORPHA:98849
Darier disease	ORPHA:218
Congenital non-bullous ichthyosiform erythroderma	ORPHA:79394
Reticulate acropigmentation of Kitamura	ORPHA:178307
Familial progressive hyper- and hypopigmentation	ORPHA:280628
Dyschromatosis symmetrica hereditaria	ORPHA:41
Dyschromatosis universalis	ORPHA:241
Dowling-Degos disease	ORPHA:79145
Dyskeratosis congenita	ORPHA:1775
Hidrotic ectodermal dysplasia	ORPHA:189
Autosomal dominant palmoplantar keratoderma and congenital alopecia	ORPHA:1010
