dise_orpha_id	dise_name	link_status	link_type	gene_name	hgnc_id	symbol	entrez_id
166024	Multiple epiphyseal dysplasia, Al-Gazali type	Assessed	Disease-causing germline mutation(s) in	kinesin family member 7	30497	KIF7	374654
36	Acrocallosal syndrome	Assessed	Disease-causing germline mutation(s) in	kinesin family member 7	30497	KIF7	374654
2189	Hydrolethalus	Assessed	Disease-causing germline mutation(s) in	kinesin family member 7	30497	KIF7	374654
2754	Joubert syndrome with orofaciodigital defect	Assessed	Disease-causing germline mutation(s) in	kinesin family member 7	30497	KIF7	374654
93	Aspartylglucosaminuria	Assessed	Disease-causing germline mutation(s) in	aspartylglucosaminidase	318	AGA	175
585	Multiple sulfatase deficiency	Assessed	Disease-causing germline mutation(s) in	sulfatase modifying factor 1	20376	SUMF1	285362
118	Beta-mannosidosis	Assessed	Disease-causing germline mutation(s) in	mannosidase beta	6831	MANBA	4126
166068	Pontocerebellar hypoplasia type 5	Assessed	Disease-causing germline mutation(s) in	tRNA splicing endonuclease subunit 54	27561	TSEN54	283989
166063	Pontocerebellar hypoplasia type 4	Assessed	Disease-causing germline mutation(s) in	tRNA splicing endonuclease subunit 54	27561	TSEN54	283989
2524	Pontocerebellar hypoplasia type 2	Assessed	Disease-causing germline mutation(s) in	tRNA splicing endonuclease subunit 54	27561	TSEN54	283989
2254	Pontocerebellar hypoplasia type 1	Assessed	Disease-causing germline mutation(s) in	tRNA splicing endonuclease subunit 54	27561	TSEN54	283989
166078	Von Willebrand disease type 1	Assessed	Disease-causing germline mutation(s) in	von Willebrand factor	12726	VWF	7450
166084	Von Willebrand disease type 2A	Assessed	Disease-causing germline mutation(s) in	von Willebrand factor	12726	VWF	7450
166090	Von Willebrand disease type 2M	Assessed	Disease-causing germline mutation(s) in	von Willebrand factor	12726	VWF	7450
166087	Von Willebrand disease type 2B	Assessed	Disease-causing germline mutation(s) in	von Willebrand factor	12726	VWF	7450
166093	Von Willebrand disease type 2N	Assessed	Disease-causing germline mutation(s) in	von Willebrand factor	12726	VWF	7450
166096	Von Willebrand disease type 3	Assessed	Disease-causing germline mutation(s) in	von Willebrand factor	12726	VWF	7450
166073	Pontocerebellar hypoplasia type 6	Assessed	Disease-causing germline mutation(s) in	arginyl-tRNA synthetase 2, mitochondrial	21406	RARS2	57038
2254	Pontocerebellar hypoplasia type 1	Assessed	Disease-causing germline mutation(s) in	arginyl-tRNA synthetase 2, mitochondrial	21406	RARS2	57038
333	Farber disease	Assessed	Disease-causing germline mutation(s) in	N-acylsphingosine amidohydrolase 1	735	ASAH1	427
2590	Spinal muscular atrophy-progressive myoclonic epilepsy syndrome	Assessed	Disease-causing germline mutation(s) in	N-acylsphingosine amidohydrolase 1	735	ASAH1	427
349	Fucosidosis	Assessed	Disease-causing germline mutation(s) in	fucosidase, alpha-L- 1, tissue	4006	FUCA1	2517
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Assessed	Disease-causing germline mutation(s) in	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	321	AGL	178
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Assessed	Disease-causing germline mutation(s) in	glycogen phosphorylase, muscle associated	9726	PYGM	5837
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	Assessed	Disease-causing germline mutation(s) in	phosphofructokinase, muscle	8877	PFKM	5213
166100	Stickler syndrome type 3	Assessed	Disease-causing germline mutation(s) in	collagen type XI alpha 2 chain	2187	COL11A2	1302
1427	Otospondylomegaepiphyseal dysplasia	Assessed	Disease-causing germline mutation(s) (loss of function) in	collagen type XI alpha 2 chain	2187	COL11A2	1302
2021	Fibrochondrogenesis	Assessed	Disease-causing germline mutation(s) in	collagen type XI alpha 2 chain	2187	COL11A2	1302
3450	Weissenbacher- Zweymuller syndrome	Assessed	Disease-causing germline mutation(s) in	collagen type XI alpha 2 chain	2187	COL11A2	1302
90635	Autosomal dominant non-syndromic sensorineural deafness type DFNA	Assessed	Disease-causing germline mutation(s) in	collagen type XI alpha 2 chain	2187	COL11A2	1302
90636	Autosomal recessive non-syndromic sensorineural deafness type DFNB	Assessed	Disease-causing germline mutation(s) in	collagen type XI alpha 2 chain	2187	COL11A2	1302
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Assessed	Disease-causing germline mutation(s) in	glycogen phosphorylase L	9725	PYGL	5836
166105	FASTKD2-related infantile mitochondrial encephalomyopathy	Assessed	Disease-causing germline mutation(s) (loss of function) in	FAST kinase domains 2	29160	FASTKD2	22868
447	Paroxysmal nocturnal hemoglobinuria	Assessed	Disease-causing somatic mutation(s) in	phosphatidylinositol glycan anchor biosynthesis class A	8957	PIGA	5277
3451	West syndrome	Assessed	Disease-causing germline mutation(s) in	phosphatidylinositol glycan anchor biosynthesis class A	8957	PIGA	5277
300496	Multiple congenital anomalies-hypotonia-seizures syndrome type 2	Assessed	Disease-causing germline mutation(s) in	phosphatidylinositol glycan anchor biosynthesis class A	8957	PIGA	5277
397922	Ferro-cerebro-cutaneous syndrome	Assessed	Disease-causing germline mutation(s) in	phosphatidylinositol glycan anchor biosynthesis class A	8957	PIGA	5277
166108	Intellectual disability, Birk-Barel type	Assessed	Disease-causing germline mutation(s) in	potassium two pore domain channel subfamily K member 9	6283	KCNK9	51305
166119	Isolated osteopoikilosis	Assessed	Disease-causing germline mutation(s) (loss of function) in	LEM domain containing 3	28887	LEMD3	23592
1879	Melorheostosis with osteopoikilosis	Assessed	Disease-causing germline mutation(s) in	LEM domain containing 3	28887	LEMD3	23592
1306	Buschke-Ollendorff syndrome	Assessed	Disease-causing germline mutation(s) (loss of function) in	LEM domain containing 3	28887	LEMD3	23592
94063	12q14 microdeletion syndrome	Not yet assessed	Role in the phenotype of	LEM domain containing 3	28887	LEMD3	23592
166260	Dentinogenesis imperfecta type 2	Assessed	Disease-causing germline mutation(s) in	dentin sialophosphoprotein	3054	DSPP	1834
166265	Dentinogenesis imperfecta type 3	Assessed	Disease-causing germline mutation(s) in	dentin sialophosphoprotein	3054	DSPP	1834
